epoch	metric	loss	lr	time	iter
5	0.20831	2.27356	0.00004	9.7	160
10	0.44006	1.68736	0.00008	19.4	320
15	0.56078	1.36114	0.00011	29.3	480
20	0.65721	1.15847	0.00015	38.9	640
25	0.67727	1.01035	0.00018	48.4	800
30	0.70958	0.94743	0.00022	57.9	960
35	0.76802	0.86504	0.00026	67.7	1120
40	0.73581	0.82796	0.00029	77.5	1280
45	0.77079	0.81956	0.00033	87.2	1440
50	0.67231	0.78550	0.00036	96.8	1600
55	0.75571	0.76180	0.00040	106.3	1760
60	0.75093	0.74798	0.00040	115.8	1920
65	0.79151	0.70907	0.00040	125.3	2080
70	0.79135	0.69528	0.00040	135.2	2240
75	0.78879	0.68716	0.00040	145.1	2400
80	0.77045	0.67875	0.00040	154.8	2560
85	0.77934	0.68066	0.00040	164.4	2720
90	0.79867	0.65414	0.00040	174.0	2880
95	0.79787	0.65030	0.00040	183.7	3040
100	0.81429	0.62644	0.00040	193.3	3200
105	0.77587	0.62643	0.00040	202.8	3360
110	0.82193	0.63330	0.00040	212.5	3520
115	0.78335	0.62190	0.00040	222.3	3680
120	0.75768	0.61152	0.00040	232.0	3840
125	0.79014	0.60741	0.00039	241.5	4000
130	0.78298	0.59366	0.00039	251.1	4160
135	0.79742	0.59301	0.00039	260.7	4320
